,800cm,810cm,820cm,830cm,840cm,850cm,860cm,870cm,880cm,890cm,900cm,910cm,920cm,930cm,940cm,950cm,960cm,970cm,980cm,990cm,1000cm,1010cm,1020cm,1030cm,1040cm,1050cm,1060cm,1070cm,1080cm,1090cm,1100cm,1110cm,1120cm,1130cm,1140cm,1150cm,1160cm,1170cm,1180cm,1190cm,1200cm,1210cm,1220cm,1230cm,1240cm,1250cm,1260cm,1270cm,1280cm,1290cm,1300cm,1310cm,1320cm,1330cm,1340cm,1350cm,1360cm,1370cm,1380cm,1390cm,1400cm,1410cm,1420cm,1430cm,1440cm,1450cm,1460cm,1470cm,1480cm,1490cm,1500cm,1510cm,1520cm,1530cm,1540cm,1550cm,1560cm,1570cm,1580cm,1590cm,1600cm,1610cm,1620cm,1630cm,1640cm,1650cm,1660cm,1670cm,1680cm,1690cm,1700cm,1710cm,1720cm,1730cm,1740cm,1750cm,1760cm,1770cm,1780cm,1790cm,1800cm
wv,800.0,810.0,820.0,830.0,840.0,850.0,860.0,870.0,880.0,890.0,900.0,910.0,920.0,930.0,940.0,950.0,960.0,970.0,980.0,990.0,1000.0,1010.0,1020.0,1030.0,1040.0,1050.0,1060.0,1070.0,1080.0,1090.0,1100.0,1110.0,1120.0,1130.0,1140.0,1150.0,1160.0,1170.0,1180.0,1190.0,1200.0,1210.0,1220.0,1230.0,1240.0,1250.0,1260.0,1270.0,1280.0,1290.0,1300.0,1310.0,1320.0,1330.0,1340.0,1350.0,1360.0,1370.0,1380.0,1390.0,1400.0,1410.0,1420.0,1430.0,1440.0,1450.0,1460.0,1470.0,1480.0,1490.0,1500.0,1510.0,1520.0,1530.0,1540.0,1550.0,1560.0,1570.0,1580.0,1590.0,1600.0,1610.0,1620.0,1630.0,1640.0,1650.0,1660.0,1670.0,1680.0,1690.0,1700.0,1710.0,1720.0,1730.0,1740.0,1750.0,1760.0,1770.0,1780.0,1790.0,1800.0
irConf0,22.939662881026074,46.683568139831074,119.76617185113884,128.26391840385338,60.52645371788101,58.37922617357432,24.931396795151905,50.93312923261561,44.64083234682974,17.609220359810685,12.213348734770205,5.83962805130618,4.781269409549099,5.807262438387322,11.3270653494596,14.944686745517393,18.100611013223734,55.065757620950926,15.429846762499983,6.876691190680718,4.589749952365326,4.133787540183683,4.3580215689921005,5.810625796699267,6.091993909417121,7.509011381266721,11.009153003039275,19.687754700587867,51.197608012284476,275.07921118556357,136.19905120481246,54.15247760753662,80.3369215359545,44.32753297866439,50.151308802162454,35.11327671548873,69.21187746303127,76.7053790141196,68.43951692987336,31.118219291251467,54.164861011697724,138.2333185945897,91.27214337556512,29.374226719533787,27.773881276470377,41.49324248528122,38.0628399983264,36.70535710277422,108.57712638274306,87.67146668276045,125.31136427423591,563.4806759084978,549.1032134199705,232.0012108881761,143.04401016873845,102.34193594286509,73.91377507866079,218.09836988254884,286.2911953196527,128.27928171501208,72.45289752666899,59.24519528795437,73.99516304168283,95.03859824771828,90.57634566855656,27.586856811410904,18.18900146655801,22.40275490437351,35.3577753963785,92.42197795441092,155.2816897277829,58.502000105388845,41.82512398656242,97.48809318891949,256.9231611626432,76.30907360364887,107.295118976843,439.47072779096686,94.60225235936925,36.41788527385276,26.60794794304463,32.56345854733559,75.32325250196563,385.90310186420686,143.91764937034392,45.282146826827564,25.223729362939768,27.921496544288235,80.25587656260542,147.4018437606663,30.9063396794315,14.407111728356073,9.904590159669507,8.330978643535925,7.977198266798901,8.437025340421922,9.745551320949934,12.298450269250724,17.15501945734416,27.227253071365908,52.48206771769895
vcdConf0,-0.001079258804724675,-0.0024336825517393985,-0.007685013381603917,-0.002247713622069817,0.0049435357319635885,0.0016566940729561884,0.0001100394743336826,-0.0012454318731391794,-1.0465881646851097e-05,-0.0003877301689675137,-0.0004051612344883941,-0.00019164336850529423,-0.0003083943967044961,-0.0010874032264974987,-0.0047199802001396726,0.0011391437382138677,0.0001399580369957936,0.00727497416969333,0.0033626674519449434,0.001201074560972928,0.0003345984804350158,0.0001378361090446882,4.214154070851497e-05,-0.00017518823970676665,-6.500360056879237e-05,-1.0001222955032792e-05,-1.066093411395004e-05,-2.6213931214925728e-05,-8.580860496251158e-05,-0.0005711358122969086,0.0007892396995794281,0.000563816395259586,-0.002245737802039472,-0.0020671332886088517,-0.001558353840619493,-0.0006284007125794312,7.492102541574523e-05,8.985885813788756e-07,-0.00020145598225855747,-0.0010068316505808053,-0.003954781479756011,-0.0026263989345637964,-0.00026297097288919294,-0.0006070629042522348,-0.0019827975676858685,-0.006487774678227896,-0.004368520622499025,0.00030477385437340437,0.005547876054861528,0.0038489215635116774,0.004482968338749683,0.020940112021495174,0.01774589192237789,0.006464219202264732,-0.003469272561857303,0.0020617217506151207,0.003258406336527628,0.014616554968776937,0.0009695825062938208,-0.003692789154175296,0.003970859965617218,0.00540961756935569,0.013796638361851134,-0.0024061657841418552,-0.0036013966032393415,-0.0008183462372318317,-0.000781836535764025,-0.0017387665127203962,-0.004858589854681808,-0.024998154699824016,-0.005052170830143627,0.0002046529917377412,0.0003517129029236524,0.007358278873372614,-0.006659657425173205,-0.001327510106849951,5.00845994724136e-05,0.001614280309894814,0.00023494312365874122,-9.985061559440025e-06,-0.00010309680401839444,-0.00025018920681776896,-0.0008284898687706747,-0.004988243169234639,0.0005795790153663229,0.0001622181071672242,-9.522031427456784e-05,-0.00021748266621382528,-0.0008384857778098299,-0.0016091447949001913,-0.0002995106793531103,-0.00011483204621976943,-6.279421875617134e-05,-4.120501920790837e-05,-3.0305779824082857e-05,-2.429991922739935e-05,-2.1104302433484634e-05,-2.0042883284696008e-05,-2.137028110811309e-05,-2.6848520214171895e-05,-4.326972254941395e-05
irConf10,23.197803252498932,33.003689835852505,86.80680291362421,167.4934386970705,64.8628605051157,24.33160404396241,41.68867250140777,56.016337033655965,39.04618751104983,13.056844543857649,12.902333920604026,42.27068947818067,15.809803822534557,12.246390318102687,31.04325311116323,67.33690568495031,18.732764371971648,13.613823920108883,7.149122194570486,8.196876894595222,6.843985722295819,12.369358858234804,49.80699949691332,16.894324667551082,10.08300830391343,10.686678459009173,17.73663228080397,50.59800640053214,240.59113913453584,56.041542362254894,37.105107185872214,30.593298817383925,67.53705053099283,72.06999071575265,60.20498793009956,86.40172334600638,55.036363890518466,25.94098185708441,45.377968124841004,109.32124455132679,45.98800241380271,101.35832922465285,86.53726927957113,53.35333151188799,45.92575696122856,64.43684378934343,161.93459815067615,116.2038225653783,177.28506459709297,432.249113012184,251.72088784844829,740.5902438092617,160.05393415697088,131.42964078658562,61.3940477331025,59.85867154491033,95.56774579985672,260.4438714591237,300.08574778654094,143.07309812203772,54.96885876919064,53.95986029368865,68.28027568995256,58.40527757026797,64.94089355313362,30.031178696534013,69.45208918650525,72.00439328163378,31.282265987995515,27.812188268768967,58.438782004617565,43.5959372298249,94.27644673331743,181.44698030225655,126.78570776390228,58.733113400804044,126.04658775964045,424.71844131228244,81.67085072254673,33.63411263751389,25.209886300478374,31.183289836326818,72.18411489005409,372.8894155267376,133.40428193537696,45.50929736440397,24.619010168358198,27.29043415509552,81.6366695399749,123.86717700962228,27.272657128725623,13.238947268767632,9.312450944259828,7.947531377673621,7.683729119308125,8.177419892643927,9.478411465112863,11.971822605158787,16.6673400200933,26.30463975719867,50.09599234440751
vcdConf10,-0.0005305416511436946,-0.0011506508599294792,-0.004771134560404932,-0.008398176659850718,-0.002270236048558059,-6.260976431656576e-05,0.0032812343127621214,-0.00023620596177960674,0.0007348464546827985,0.00030921281697237886,0.0005940387020538745,0.0027422509094545892,0.0011348552752471154,0.0013936925686359265,0.007154175952768555,0.0022394282683422108,0.0027554100541065424,0.0053795482028325655,0.0012244299909364715,0.0004850841145253215,0.0007250848630566799,0.002046315766068668,0.010976404542466477,0.0022815464957022303,0.000441216653457098,-7.409957792442157e-05,-0.0006009280392168667,-0.0022710229132987827,-0.0113825621494002,-0.0026083223975347236,-0.0008506719182021854,-0.0029389485303128182,-0.014386336503805509,-0.0060795158318015866,-0.006843658949117736,-0.013687395008731323,-0.008605432514840285,-0.0029513134191429,-0.004835024305525427,-0.014378076584958332,-0.002546087990542356,0.00020222965762483304,-1.2154434348592038e-05,0.0018044187295889313,0.003416716939793301,0.007849637295774934,0.02455178163338617,0.008284979210940253,0.0017237136235720902,0.00015253121545976458,-0.004471431781264355,-0.020141399174747016,-0.002226256299556968,0.005006425452122364,-0.0008205655065822437,-0.002550285144730213,-0.0017670069220472391,-0.014771116527392438,0.021006236649067783,0.009487786369532037,0.004130122888185949,0.007818583937814054,0.018777921569802902,-0.0037413294692919016,-0.0009957032483112627,0.002087683147765399,0.010664176802202172,0.010359742743713268,0.002340935805658315,0.002054495961137917,0.006485742213081881,0.004975402986964032,0.011885794397634486,0.00538889389766937,-0.0094033735686454,-0.0024204845586307954,-0.001907983840949032,-0.0059318762863390115,-0.0010426905708233326,-0.0003612075614475937,-0.0002467010839598025,-0.0003300509775464014,-0.0008516683169115246,-0.004461647537524561,-0.003740014860569313,-0.001382829349516788,-0.0002711786777463485,0.00012703568900738357,0.0012605985777123135,0.0021025213501217614,0.0003659794732516155,0.00012929109884423113,6.846747877735071e-05,4.761145947078816e-05,4.0678924490709036e-05,4.066490900586697e-05,4.593367582891519e-05,5.758877220146113e-05,8.017261162640403e-05,0.00012676083319587892,0.00024177252784928724
irConf100,84.59460850674253,210.86886712098962,48.328773397487716,30.574693967792165,45.941983273537105,20.827617664366493,43.423514886250906,85.77018740483442,47.92510524027378,15.561300539547414,12.59757859590324,23.80335707729501,98.43717975109388,31.52045184983513,25.3144763119154,30.958974736575453,36.91539989580935,31.65915341694189,9.140779767494333,5.573076192767737,4.700545814218783,4.67454306916739,5.294951019396305,7.28148718223669,10.65753670673573,26.447262264954716,109.56025655457488,30.14155394424356,27.564541564011346,54.07405348191128,142.91018172432183,151.6321716191907,37.83847673686271,29.341470908838343,73.97072853731068,43.888687310887654,106.44942358781721,41.55270432871915,65.83452766477242,74.26660715678246,97.9705018631352,300.4128946212884,72.09341968680437,28.32734128171791,23.70514168530559,17.567819133291973,19.607901800001308,33.24683387298283,46.52592639548411,63.54771348017812,179.64303720156403,661.1010171488966,690.014553745344,254.12243589223172,120.59695367946487,173.1393949141051,93.49806381829218,221.03546178622028,299.0873543136877,188.0774512476099,91.62203875440515,169.91572120931494,81.48681270444848,43.62023775219675,58.80867141252834,22.19741620226388,16.655293557643088,22.242984777616215,35.03114670234037,83.04749438882547,114.16547781125944,116.955873786961,147.85965857032804,75.65954023124958,55.114724838723575,42.708109987035854,100.38919628560956,480.9478002145986,108.87685118224206,39.194543317617786,27.63649895182807,33.46030041933033,78.21334746826999,395.3697975729789,145.1719200098464,43.19442726446034,25.073765562839895,28.092715688445374,78.38845390064623,173.53829682313656,34.89919736681917,15.58451839948006,10.474321658105383,8.70364375531762,8.28499487128604,8.747975031482348,10.120866235289412,12.830890998539786,18.043081013223752,29.023589994318023,57.303612572270254
vcdConf100,-0.0020834616863091788,-0.009202914710517332,-0.0013241713398553696,-6.42823507484161e-06,0.0012449507687562985,0.0011433022998561429,0.005280824018912827,0.00464445856614958,0.0004538183374853285,0.0005731280075073942,0.0008989864622565976,0.0026183757691324214,0.01267950306752794,0.0043941641581870155,0.002786940823580665,0.0025396840310274184,-0.0014413571367255064,-0.0036744440639668095,-0.0005334199908833669,-0.0001379357931027286,-6.130770705779377e-05,-5.113121599146001e-05,-7.936932080804387e-05,-0.0002674775721188585,-0.00017320934024158335,-0.0002734372638284764,-0.0010129505442352394,-0.00016439687421183766,0.0008831526342378049,0.002457223565435903,-0.0073831976234361735,-0.010248737373122143,-0.0023115700059102282,-0.0021672355981946167,-0.006763716587317994,-0.0021860171540674274,-0.007748517654155014,-0.0023398503240867944,-0.003579519210278428,-0.0008390231234872702,0.004745986965549922,-0.0057143984647386546,-0.000576820779607806,-0.0004615395314615369,-0.0015199377893570436,-0.00017944503050320914,1.556772641384454e-06,-0.0007002057442437029,-0.0005679483364585386,0.0016286463921893922,0.005414349572795986,0.021071776986286532,0.04717921189782972,-0.002637877976611729,0.0042155605520518375,0.011495346040757215,7.248610193795714e-05,-0.008073219912720909,0.011413555060231341,0.008212511205672865,0.0007720160810156519,-0.009264282695862523,-0.0031540825044017165,-0.0016890124095277257,-0.0009962517903737633,-0.0006029197960596046,-0.0008087847142391674,-0.0018265738029986922,-0.00397982010678394,-0.02170556586673408,-0.007627341405609136,-0.0027353815226604647,-0.003067861698516609,0.0007867702626042438,0.0018727270007995926,0.0004919923525058459,0.0011440078765055939,0.0060783145544915295,0.0012729975035973087,0.0003759405745372763,0.0002096438263133452,0.0001925421611904645,0.0002122559755821394,-0.00020790692651015245,0.009434843219538035,0.001953861257604731,0.0004687647721567288,5.496675801746361e-05,-0.0006272893204364351,-0.0017173643733022967,-0.0002640575638640443,-7.812329573233707e-05,-3.620009230064488e-05,-2.4464908265951268e-05,-2.2809321545097814e-05,-2.6331738118706156e-05,-3.43710597055772e-05,-4.8713118983359684e-05,-7.484318745774163e-05,-0.00012833200158995513,-0.0002641969445332024
irConf1000,55.613692633781326,30.33415084941786,56.830392602547214,32.37310450794443,22.55836138774416,10.813994309721856,18.385566052684375,42.55208901836663,40.96678973645253,10.306356658234384,6.326637562990502,10.167585525581844,5.621319027248062,6.194109684050852,15.805338551684502,12.396729830550225,13.590753710108116,29.225293547866283,49.37408719410474,11.60242002744365,5.661968545963182,4.470357727649831,4.615133568279451,7.079560083054988,6.958334723483505,10.599574209275143,28.29908721807686,127.53357966002659,30.629211219050738,17.179612186049315,32.56889296125852,59.14237361247837,58.416325962681974,54.29225711509832,130.8186078293961,75.7516151690214,26.30198575491247,18.462715216724547,24.04221492425209,58.94618008496293,100.61795500998737,242.64852376915408,315.3736048483492,72.84877466529157,54.609562321545866,47.82252977464144,104.27563736547224,387.43601286234224,273.0152287898011,78.19105467097728,72.17873070329844,162.3660549992996,366.3167280269972,155.87507760552256,69.58846747732177,52.2239401851615,64.41491069831955,225.26352566530377,243.35991310329726,185.22721195299687,55.34618793157087,46.61136696056881,70.56622925646977,67.32872391067788,45.829453571053676,50.925010457124955,39.93754993229972,23.79832192099649,27.302327172366017,39.52669151019667,35.897885194503985,28.51338983235401,29.453152859528448,35.206809148953134,53.8845468311893,74.37237709969668,282.23459097464405,247.16157361309044,56.351236045901686,27.795044686124893,22.403208443621008,28.524829009720225,65.74461310294535,342.6412522499425,138.45993666339982,43.461931750232104,24.160333946239597,28.574092972208184,99.42784734808241,89.31261620183699,22.452574138731084,11.757895135995028,8.581236770628715,7.485673986926032,7.346249455707943,7.903247225297639,9.23024655114403,11.710251441631312,16.318242105969446,25.659026239678248,48.321621485553806
vcdConf1000,0.001389325856017878,0.0006897528940059953,0.0015143320090532444,-0.0010220137261943863,-0.0019099963041228336,-0.0005434922772886312,-0.001613331045394507,-0.0006689093770933638,0.00203771796347886,0.00032225647684889987,0.00010629284570004505,-0.0001060391638471359,0.00013764835993172853,0.00044963629850833513,0.0019446356389512406,0.00027658030697980086,0.0024735151189531003,0.005990310830031681,0.004346176671971529,0.001017601098783462,0.00034514149922462673,0.000159807042105069,8.029060755744853e-05,7.303591956192358e-05,-2.9970262991748133e-05,-0.00014711568457170945,-0.0005148967693523374,-0.002455187163484493,-0.0006186999083317129,-0.0003879915699522426,-0.0003952689947586053,-0.002784080336883667,-0.008881280041330602,-0.003981116952056255,0.00484736851364899,-0.0023198106773031774,-0.0007533371296160629,-0.000618267375201813,-0.0014578535661301216,-0.00711958590535243,-0.0024566268142823078,0.00509753886887929,-0.022234944386610958,-0.0026769900605916135,0.0020423987927565453,0.002696599314980167,0.012722905646291624,0.022247792646244473,0.005487864901740493,0.0014113553948299805,-8.829231492059659e-05,-0.0018806258989601664,-0.003930402984768519,0.0030943911383905357,0.0004521451212754241,-0.0006820896302476929,-0.0041612664858264176,-0.021271126770297657,0.004534551825719906,0.01352029120856548,0.002545811739662836,-0.0008835653125842906,0.0009849485916607898,0.0017616869017369422,0.002454010068574665,0.011228478535209046,0.00877508123987166,0.0019437009643188973,1.9480760702752552e-05,-0.0021371857560993877,0.005340785407231874,0.004372774434444253,0.004059534177257903,0.0009218884885193912,-0.004654573617307065,-0.006750150783221528,0.000770231838926107,0.0013468903928784456,0.0001680733338172883,1.8584831544929817e-05,-3.7795203625371135e-05,-0.00011332555446067417,-0.00034129829942130695,-0.0016783500933738721,-0.003592783439727849,-0.0010697436390478057,-0.00010774109810645036,0.0003870069856698202,0.0025587527673585496,0.002339396926291773,0.0004635422559781687,0.00017696646198798045,9.389622399279625e-05,6.107752327402068e-05,4.633407965184665e-05,4.010471851785321e-05,3.924891040979589e-05,4.338498712644809e-05,5.457423359448981e-05,7.986912654525842e-05,0.00014356946020253726
irConf1001,225.00682226564854,89.42650190028532,65.4986437605553,42.15748671765253,32.625686489499174,13.522417008765744,17.210897073718222,67.91910938251345,43.228968973876334,13.233071082647882,6.490422285637488,5.048550646478788,5.950404443759219,15.22895321952064,18.029922901682838,10.743685989396916,6.7818655140420825,5.466976879921605,7.701204496613905,29.332129949690138,15.835781813057206,7.358124671180271,9.185826645155911,26.000422054813644,17.380030265223297,9.708468126814557,12.187669840712035,24.653281374523736,106.40967570156674,103.67910199748432,46.474275010614186,31.405419816026395,50.866042737500436,201.87764660393813,100.39806013753478,39.33627849446568,42.97448512105245,27.098547855673303,33.183628016195286,25.61682181182006,37.4521754205299,98.56527571961568,52.431358752273205,131.43631882652232,177.13159389519856,189.27070282853717,70.9674604151214,133.62179234790338,165.76740154422154,501.8296283019262,322.74881183981773,145.11564141113303,283.53360371937697,135.5117701115503,61.94868407212247,43.195154099138335,68.29841202199893,179.42651286477212,232.97175472766563,116.99356861079477,120.53171153875529,51.1700836308004,50.76122501621005,40.967397216386,66.5511749725031,71.17557912326073,22.92759679864491,19.396517481646512,20.02724815660917,17.112508782119495,22.457703027467545,35.85865900787073,80.71898735288786,73.36806280264011,121.27035160906479,72.49749212565342,227.3905276576776,293.19619472985806,62.53210229699209,30.280634217621856,24.831244377362736,33.02530306001654,82.44952836315329,417.3297828805012,135.91931239712142,40.439833630328415,24.346795325849158,28.870842469654875,94.48478588477295,112.57003044711064,26.09440007453595,13.015434385177032,9.244727377571,7.926583030025785,7.69039919722525,8.214431114269443,9.561552930649393,12.137339665383987,17.00158301848875,27.05160470305645,52.172421247148975
