10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
3.286721,-0.182751,-0.095294,4.683912,-0.024381,-0.495833,5.633315,-0.975831,0.100213,4.736140,-0.111825,-1.509822,
-3.931176,0.686491,0.916996,-4.194986,-0.241418,-0.170546,-5.500112,-0.901114,-0.115220,-4.136948,0.299658,-1.031953,
3.663882,-0.471132,-0.166637,4.901750,0.284920,-0.015466,6.041885,-0.434098,0.564599,5.175977,0.673945,-0.917438,
-3.202636,-1.076186,-0.974279,-4.400226,-0.258294,-1.024814,-5.172193,-0.028740,0.203270,-4.206117,0.631132,-1.476146,
3.216655,0.306174,-0.626854,4.249349,0.225097,0.392307,5.315907,-0.760694,0.185410,4.661736,1.150012,0.488984,
3.751468,-0.600096,-0.372672,4.616406,0.239134,0.436434,4.569822,1.694611,0.279960,4.493132,-0.018547,1.411437,
-3.538792,0.512479,-1.146506,-4.284103,-0.720976,-0.942930,-5.231471,-0.752733,0.185404,-4.797850,-0.913704,-1.797305,
-3.446540,0.410064,0.833484,-3.015110,-0.895065,0.357251,-4.090109,-1.870874,0.135029,-2.369627,-1.285227,1.041902,
3.440822,-0.767865,0.902381,3.675311,0.598399,0.460369,4.962714,0.871576,-0.189750,3.552199,1.240196,1.238791,
-3.278597,0.816600,0.665597,-3.043651,-0.497470,0.086164,-4.238382,-1.342246,0.001032,-2.662852,-0.368228,-0.848498,
3.278597,0.115402,0.944244,4.705682,-0.141086,0.985338,5.283146,-1.149515,0.094834,5.199652,0.742814,0.905409,
3.717771,-0.594637,1.008141,4.366320,0.587950,0.470606,3.625647,1.635250,-0.229762,5.226250,0.350424,-0.013046,
-3.299984,0.241770,-0.622382,-4.282946,0.006773,0.419034,-5.509721,0.809959,0.385301,-4.524818,-0.981951,0.387355,
3.209679,0.009869,0.581757,4.612249,-0.039230,0.182049,5.192580,1.213516,-0.314319,5.180070,-0.386322,0.954879,
-3.312185,0.623006,-0.214428,-4.399885,-0.041471,0.503577,-5.771841,0.429669,0.243563,-4.228751,0.017805,1.504394,
-3.981636,0.549532,-0.064506,-3.944753,-0.691927,0.690716,-4.976435,-1.693981,0.384860,-3.995280,-0.472514,1.683716,
3.850854,-0.826789,-0.658607,3.621801,0.599409,-0.793286,4.454134,1.510185,-0.012184,2.636258,0.814455,-0.673045,
-3.551543,0.562776,-0.436604,-3.648941,-0.500986,0.554097,-4.737677,-1.473599,0.379922,-2.766957,-1.008292,0.553020,
3.929868,0.822959,0.002559,3.455817,-0.531740,-0.199276,4.484339,-1.568356,-0.119664,2.985418,-0.594798,-1.099011,
-3.544007,-0.574706,-0.488795,-2.970078,0.740399,-0.253938,-3.919761,1.853616,-0.306994,-2.483245,0.742626,0.640379,
3.820718,-0.447879,-0.329234,3.326393,0.859639,-0.745611,3.413452,1.928166,0.257579,3.804370,1.163210,-1.589967,
3.959025,0.797270,-0.045399,3.411932,-0.536218,-0.217963,4.390619,-1.619517,-0.119454,2.946871,-0.593832,-1.121085,
3.348229,0.332332,-0.573304,2.728298,-0.863155,-0.029282,3.611460,-2.000267,0.254850,2.223572,-0.611163,0.816576,
-4.037169,-0.997714,0.671841,-4.092945,0.442513,0.846413,-4.225160,1.277658,-0.346254,-3.312085,0.739265,1.424320,
3.714390,-0.685350,0.002691,2.990260,0.575797,0.119159,3.799339,1.753233,0.458570,2.256831,0.450740,0.813663,
-2.952055,-0.039284,0.764803,-4.160466,0.208654,-0.002688,-5.138138,-0.881964,-0.082553,-4.609332,1.035131,0.384830,
-3.989548,-1.129038,-0.603022,-3.670534,0.268810,-0.847151,-4.103613,1.224878,0.179510,-4.056602,0.557397,-1.742657,
-3.658907,-0.601930,0.962580,-4.730207,0.013683,0.198620,-4.511690,1.390968,-0.252384,-4.900251,-0.576768,-0.612808,
-3.500018,-0.828584,0.556266,-4.547126,-1.186418,-0.382945,-5.796493,-0.421918,-0.394880,-4.143291,-1.232231,-1.314069,
-4.197266,-0.805480,-0.216948,-4.412849,0.182275,0.824218,-4.679666,1.572728,0.478960,-3.748099,0.068611,1.579603,
3.136354,0.588695,0.415022,4.261610,-0.197900,-0.054329,5.525058,0.505738,-0.298727,4.413915,-0.942121,0.623825,
-3.550962,-0.379047,0.302496,-3.337138,0.792835,-0.536630,-4.215819,1.947849,-0.300926,-2.374248,1.094930,-0.406856,
-3.670709,0.060543,-0.650977,-4.923852,-0.294881,0.006005,-6.098221,0.507586,-0.365908,-5.123711,-1.273757,-0.194235,
3.747007,-0.504794,-0.803379,4.835724,-0.046526,0.040241,4.938855,1.373240,0.385841,4.852847,-0.618675,0.879719,
