D88,D27,D14,D33,D36,D45,D57,D63,D54
172.2264,92.9042,0.1434,-179.6211,-64.6288,-169.5349,166.1635,161.6425,155.6622
-174.3911,86.0832,178.034,-175.6197,176.1251,-59.8112,-172.0465,165.3538,-44.7615
179.0893,-86.525,179.6629,-177.5179,-166.7463,-169.5705,160.5711,62.3571,156.0442
-174.5776,86.3606,177.0301,86.7532,176.2128,-50.1072,-62.4018,177.3058,-44.2712
-179.1441,87.0123,179.2022,-81.7962,-67.5355,-61.2518,176.9302,-68.4193,-62.62
-175.3107,-91.9939,-2.9099,87.1482,173.7985,-170.2991,-89.0701,-70.1801,-48.6663
176.0877,-86.3485,176.1037,86.9952,172.1671,155.9484,80.5507,141.8991,-48.8394
172.2845,87.5742,-179.6806,82.0509,-161.3898,70.8578,-172.7257,76.0661,-170.6607
174.9645,92.7709,0.7634,176.9143,-68.2825,-54.8821,-92.3075,164.4209,-63.9471
-165.1544,-90.4116,105.8314,-81.4027,-66.2639,68.2411,179.6274,163.4593,-68.3365
-175.2912,86.1361,179.0796,179.7734,-67.0897,-176.4363,-92.7505,-70.6905,-76.1433
-176.8495,-92.5188,-2.5767,-174.7055,-58.2757,-83.0845,69.301,57.5548,77.5878
179.9712,-86.8516,-175.8049,78.8416,-170.2186,-57.611,-175.4432,-66.9166,-163.2587
174.6722,-86.0354,-178.051,177.3323,52.8251,-171.017,160.2049,62.6502,156.3017
-176.976,-87.5851,-175.5948,79.3722,-176.8616,-74.2962,-154.1311,-56.704,86.9802
-175.1256,-92.3619,-1.3356,-178.6569,-165.9479,64.9277,-172.7326,-57.0475,-170.706
172.2051,-85.7929,178.7843,-177.9221,-69.9439,67.8259,94.1555,171.987,178.0759
-175.1522,85.97,-178.408,177.1892,49.0489,54.7951,158.0694,-72.9748,-179.6521
172.8187,-85.8067,-177.5501,177.1179,-88.5488,51.434,166.8993,69.9795,176.0765
172.0559,-87.8061,-79.8028,-82.1699,-65.6232,69.7048,172.0034,63.8577,-69.9579
179.825,91.1302,2.0477,81.2565,-166.5258,71.4071,94.5736,70.1996,-167.1156
173.6508,92.986,2.8297,175.8405,-89.2841,46.2541,170.9751,70.8779,-72.1595
176.0816,91.7591,2.9708,-83.9468,-67.1867,73.5257,177.0725,-68.1098,179.6237
-177.5786,-88.4087,-140.82,-121.1749,-179.9803,-66.3328,94.4983,77.0309,-56.4153
-169.2787,-91.3372,-31.3956,104.8831,51.2638,-81.7928,-164.7496,76.3565,98.937
-177.5376,-87.5765,-178.709,-82.8643,-67.5368,-61.2814,176.6683,-68.4778,-61.2895
-175.3228,86.4259,-176.4518,176.2196,88.7428,-52.2316,-87.8837,162.6356,34.639
176.2367,-86.4839,178.1364,86.3254,174.2666,-175.5788,-70.5732,164.03,-50.4486
-173.1037,-92.3945,28.7097,-108.8436,-179.9507,-175.5613,-91.9314,-70.8021,-65.7319
175.0973,92.4475,-1.4607,-176.8722,177.0567,-71.5412,123.7792,-61.9741,-47.1577
173.8867,-91.5478,2.2515,80.2735,-170.5805,-57.5713,-175.4406,-66.7956,-165.0938
172.5115,92.6109,2.8077,176.5579,48.7404,54.6565,158.1898,-72.9955,-179.5096
179.3305,-86.5521,179.591,-177.4788,-166.976,-171.0073,165.8877,161.8511,156.2853
177.3555,-86.5709,178.2096,86.434,174.2212,-170.3307,-88.8202,-70.049,-50.5032
-174.0486,86.4606,-176.7459,-84.0052,-68.4277,73.3617,177.6165,-67.7794,179.2784
-173.6049,-92.7416,2.2214,174.9793,64.0894,63.02,-94.8998,160.3124,53.4535
-175.3485,-92.4892,-2.7274,-175.9811,177.168,-71.413,123.6133,-61.9604,-46.7376
176.1513,92.382,0.6946,-179.6312,-62.1906,164.4153,80.6867,68.5309,73.5751
