D88,D27,D14,D33,D36,D45,D57,D63,D54
172.2264,92.9041,0.1434,-179.6211,-64.6287,-169.5349,166.1636,161.6426,155.6621
172.2264,92.9041,0.1434,-179.6211,-64.6287,-169.5349,166.1636,161.6426,155.6621
172.2189,92.9119,0.151,-179.6246,-64.6359,-169.5394,166.1741,161.6363,155.664
-171.7736,85.6522,179.2513,-178.9081,-64.2133,-169.6568,166.323,161.6809,155.8509
-171.7512,-93.0851,-0.6718,-178.9088,-64.2089,-169.6535,166.3204,161.6869,155.8467
172.3785,92.8045,0.1233,-179.5703,-64.2989,-168.0839,160.8401,62.3589,155.5377
172.3217,-85.7732,-179.8,-179.5691,-64.3041,-168.0834,160.8403,62.3568,155.5315
-171.9398,85.7537,179.2913,-179.0623,-63.8565,-168.1123,160.9164,62.3714,155.6504
-171.9116,-92.9895,-0.6303,-179.0633,-63.857,-168.111,160.9164,62.3698,155.6463
172.278,-86.3277,178.9283,-176.2835,175.7587,-60.0095,-172.0477,165.3166,-45.1069
172.2747,-86.3191,178.9279,-176.2825,175.7605,-60.0119,-172.0485,165.3202,-45.1088
-174.394,86.0833,178.0336,-175.6192,176.1249,-59.8112,-172.0463,165.354,-44.7613
-174.3925,-92.5964,-2.2046,-175.6194,176.125,-59.8112,-172.0464,165.3539,-44.7614
172.1833,-85.7535,-179.8514,-179.746,-64.3804,-166.0419,-89.3572,163.5978,155.3368
172.1705,-85.7274,-179.8356,-179.7596,-64.3866,-166.0449,-89.3553,163.5971,155.3414
-172.0259,85.7901,179.1445,-178.9323,-63.9941,-166.1738,-89.3153,163.5746,155.5637
-172.0335,85.7677,179.1416,-178.9301,-63.9952,-166.1729,-89.3153,163.5796,155.5634
-173.226,85.969,-178.55,-83.6472,-64.6865,-169.9323,166.5377,161.7469,155.4562
172.6695,92.3706,-1.6038,-176.0966,176.0148,-58.1854,178.4306,63.9212,-45.6017
-173.2399,-92.7834,1.1023,-83.6677,-64.6857,-169.9424,166.5374,161.7603,155.4659
172.6872,-86.3873,178.827,-176.1072,176.0109,-58.1847,178.4305,63.9135,-45.5987
-174.3603,86.081,177.97,-175.4482,176.4153,-57.9199,178.4367,63.9759,-45.3108
173.5761,-86.017,179.1826,-177.0025,178.2094,177.2275,170.2705,71.7951,-55.5256
-175.2726,86.0583,178.084,-176.5449,178.4268,177.241,170.2273,71.8297,-55.0022
-173.3704,-92.7267,1.0,-83.6383,-64.279,-168.4379,161.1726,62.3935,155.3328
-174.3792,-92.5738,-2.2814,-175.4444,176.4119,-57.9224,178.4455,63.9844,-45.3038
-173.3424,-92.7421,0.9964,-83.636,-64.2733,-168.439,161.1725,62.3915,155.3378
174.3652,-85.9487,-176.4354,-85.1427,-64.8852,-169.8213,166.5088,161.8884,155.2957
174.3722,92.7508,3.0809,-85.1423,-64.8852,-169.8214,166.5081,161.8876,155.2959
173.5633,92.7708,-1.1423,-177.0079,178.2079,177.2201,170.2696,71.8074,-55.5207
174.3055,-85.9788,-176.4376,-85.1425,-64.8783,-169.8099,166.5107,161.8777,155.272
-175.269,86.0556,178.1025,-176.5636,178.4168,177.2412,170.2236,71.8359,-54.9871
-173.6502,-92.635,3.0296,175.7649,54.0632,-83.3634,-164.449,76.8468,98.7628
174.0451,92.9881,3.2577,-85.3086,-64.5857,-168.3368,160.9719,62.3906,155.2008
171.4631,92.8897,0.0232,-179.7687,-64.4242,-168.6383,162.6929,-70.6502,155.7872
171.463,-85.7684,-179.8838,-179.7686,-64.4241,-168.6382,162.693,-70.6501,155.7871
174.0317,-85.6861,-176.2664,-85.3116,-64.5748,-168.3423,160.9737,62.3892,155.2132
-171.304,-93.0657,-0.7245,-178.9103,-63.8784,-168.7391,162.9191,-70.6468,155.9455
-173.391,-92.7427,1.6312,176.4219,66.7084,176.9747,167.5065,71.1468,50.89
-171.2912,85.6541,179.192,-178.9125,-63.8733,-168.7385,162.9166,-70.6404,155.9481
172.767,92.7797,0.4041,-179.4059,-60.932,-74.1242,-153.5907,172.7157,91.0888
-173.6499,-92.6351,3.0291,175.7654,54.0631,-83.3635,-164.449,76.8467,98.7629
172.9019,92.9523,0.3233,-179.2318,-60.7364,-73.0391,-154.2735,78.3909,90.1765
174.2462,-85.9848,-177.669,175.8822,66.4607,177.021,167.4064,71.2196,50.4905
172.7663,-85.8523,-179.4143,-179.4063,-60.932,-74.1242,-153.5908,172.7157,91.0888
