D88,D27,D14,D33,D36,D45,D57,D63,D54
172.2264,92.9042,0.1434,-179.6211,-64.6288,-169.5349,166.1635,161.6425,155.6622
172.2182,-85.7362,-179.7734,-179.6246,-64.6359,-169.5394,166.174,161.6363,155.664
-171.7452,85.6397,179.2458,-178.9077,-64.2104,-169.6537,166.3214,161.6851,155.8463
-171.7512,-93.0851,-0.6718,-178.9088,-64.209,-169.6535,166.3204,161.6869,155.8467
172.3542,-85.7963,-179.8023,-179.5699,-64.2999,-168.0826,160.8377,62.3533,155.5318
172.3219,-85.7734,-179.8,-179.5691,-64.3042,-168.0834,160.8403,62.3568,155.5315
-171.9109,85.7217,179.2932,-179.0634,-63.8569,-168.1111,160.9165,62.3697,155.6463
-171.8759,-93.0017,-0.6142,-179.0802,-63.854,-168.1127,160.9131,62.3711,155.6505
172.2656,92.4429,-1.4987,-176.2726,175.7591,-60.0122,-172.0426,165.3263,-45.1056
172.2749,92.46,-1.4858,-176.2825,175.7607,-60.0124,-172.0486,165.32,-45.1089
-174.3911,86.0832,178.034,-175.6197,176.1251,-59.8112,-172.0465,165.3538,-44.7615
-174.3935,86.0832,178.0336,-175.6192,176.1249,-59.8112,-172.0463,165.354,-44.7614
172.1947,92.9025,0.0554,-179.745,-64.3798,-166.0409,-89.3577,163.5999,155.336
172.1841,-85.7309,-179.8382,-179.7573,-64.3861,-166.0445,-89.3549,163.5958,155.3386
-172.0304,-92.9228,-0.7881,-178.9316,-63.9911,-166.1722,-89.3161,163.5777,155.5623
-172.0345,-92.9224,-0.7883,-178.9316,-63.9914,-166.1724,-89.317,163.5768,155.5628
-173.2212,-92.7923,1.1088,-83.6715,-64.6908,-169.947,166.5386,161.76,155.4776
172.6774,-86.3818,178.8165,-176.0965,176.0149,-58.185,178.4306,63.9211,-45.6022
-173.2199,-92.7923,1.1099,-83.6718,-64.6899,-169.9467,166.5382,161.7594,155.4773
172.6999,92.3764,-1.587,-176.1111,176.0196,-58.1806,178.4208,63.9124,-45.6155
-174.3657,86.0839,177.9718,-175.4499,176.4163,-57.9219,178.4359,63.9754,-45.312
173.6109,92.7635,-1.1569,-176.9996,178.2079,177.2247,170.2768,71.8046,-55.5194
-175.2783,-92.6345,-2.1066,-176.5449,178.4268,177.2406,170.2268,71.8295,-55.0022
-173.3644,86.0897,-178.6413,-83.6267,-64.2777,-168.4376,161.1717,62.3936,155.3331
-174.3792,86.0974,177.9648,-175.4444,176.4116,-57.9224,178.4457,63.9845,-45.3034
-173.3371,-92.741,0.9968,-83.6361,-64.275,-168.4395,161.1717,62.3902,155.3384
174.3667,-85.9496,-176.4362,-85.1421,-64.8851,-169.8212,166.5088,161.8884,155.2957
173.5658,92.7722,-1.1424,-177.0087,178.2075,177.2231,170.2709,71.8059,-55.5216
174.3095,92.721,3.0805,-85.1425,-64.8785,-169.8097,166.5107,161.8782,155.2722
-175.2665,86.0549,178.1029,-176.5639,178.4169,177.2413,170.2233,71.8356,-54.9871
-173.6376,-92.6632,3.0191,175.7735,54.0626,-83.3622,-164.4432,76.8561,98.7597
174.0429,-85.7075,-176.2686,-85.3079,-64.5859,-168.337,160.9719,62.3905,155.2009
171.4613,-85.7792,-179.8755,-179.7723,-64.4297,-168.6392,162.6944,-70.6612,155.7853
171.463,-85.7684,-179.8838,-179.7686,-64.4241,-168.6382,162.693,-70.6501,155.7871
174.0322,93.009,3.2586,-85.3117,-64.5745,-168.3422,160.9736,62.3891,155.213
-171.2924,-93.0757,-0.7274,-178.9127,-63.8734,-168.7384,162.9166,-70.6402,155.948
-173.3903,-92.7427,1.6314,176.4219,66.7084,176.9747,167.5065,71.1469,50.89
-171.2912,85.6541,179.192,-178.9125,-63.8733,-168.7385,162.9166,-70.6404,155.9481
172.7664,92.7799,0.4039,-179.4056,-60.932,-74.1242,-153.5906,172.7157,91.0888
-173.6499,-92.6351,3.0291,175.7654,54.0631,-83.3635,-164.449,76.8467,98.7629
172.9044,92.9488,0.3228,-179.2313,-60.736,-73.0388,-154.274,78.3923,90.1773
174.2454,92.7388,2.5069,175.8822,66.4607,177.021,167.4065,71.2196,50.4904
